Category,SubCategory,Name,Description,Variant,Price,DietType,Tags,Available
WHISKEY,Blended Scotch,Ballantine Finest,,Peg,450,,,TRUE
WHISKEY,Blended Scotch,Ballantine Finest,,Bottle,7500,,,TRUE
WHISKEY,Blended Scotch,Ballantine 12 Yrs,,Peg,550,,,TRUE
WHISKEY,Blended Scotch,Ballantine 12 Yrs,,Bottle,10000,,,TRUE
WHISKEY,Blended Scotch,Monkey Shoulder,,Peg,650,,,TRUE
WHISKEY,Blended Scotch,Monkey Shoulder,,Bottle,14500,,,TRUE
WHISKEY,Blended Scotch,Dewars 12 Yrs,,Peg,400,,,TRUE
WHISKEY,Blended Scotch,Dewars 12 Yrs,,Bottle,7500,,,TRUE
WHISKEY,Blended Scotch,Dewars 15 Yrs,,Peg,400,,,TRUE
WHISKEY,Blended Scotch,Dewars 15 Yrs,,Bottle,8000,,,TRUE
WHISKEY,Blended Scotch,Dewars White Label,,Peg,400,,,TRUE
WHISKEY,Blended Scotch,Dewars White Label,,Bottle,7500,,,TRUE
WHISKEY,Blended Scotch,Teachers Highland Cream,,Peg,550,,,TRUE
WHISKEY,Blended Scotch,Teachers Highland Cream,,Bottle (1000ml),9000,,,TRUE
WHISKEY,Blended Scotch,Black and White,,Peg,440,,,TRUE
WHISKEY,Blended Scotch,Black and White,,Bottle,6000,,,TRUE
WHISKEY,Blended Scotch,100 Pipers,,Peg,500,,,TRUE
WHISKEY,Blended Scotch,100 Pipers,,Bottle (1000ml),6500,,,TRUE
WHISKEY,Blended Scotch,Grants,,Peg,350,,,TRUE
WHISKEY,Blended Scotch,Grants,,Bottle,6000,,,TRUE
WHISKEY,Blended Scotch,J&B Rare,,Peg,400,,,TRUE
WHISKEY,Blended Scotch,J&B Rare,,Bottle,7000,,,TRUE
WHISKEY,Blended Scotch,Jameson,,Peg,550,,,TRUE
WHISKEY,Blended Scotch,Jameson,,Bottle,12500,,,TRUE
WHISKEY,Blended Scotch,Suntory Toki,,Peg,630,,,TRUE
WHISKEY,Blended Scotch,Suntory Toki,,Bottle,14000,,,TRUE
WHISKEY,Blended Scotch,Fort Glen,,Peg,350,,,TRUE
WHISKEY,Blended Scotch,Fort Glen,,Bottle,7500,,,TRUE
WHISKEY,Blended Scotch,VAT 69,,Peg,350,,,TRUE
WHISKEY,Blended Scotch,VAT 69,,Bottle,6000,,,TRUE
WHISKEY,Blended Scotch,Jameson Black Barrel,,Peg,550,,,TRUE
WHISKEY,Blended Scotch,Jameson Black Barrel,,Bottle,12500,,,TRUE
WHISKEY,Blended Scotch,Tamerlane,,Peg,350,,,TRUE
WHISKEY,Blended Scotch,Tamerlane,,Bottle,6000,,,TRUE
WHISKEY,Blended Scotch,Iwai,,Peg,550,,,TRUE
WHISKEY,Blended Scotch,Iwai,,Bottle,12000,,,TRUE
WHISKEY,Bourbon,Jack Daniels,,Peg,600,,,TRUE
WHISKEY,Bourbon,Jack Daniels,,Bottle,13000,,,TRUE
WHISKEY,Bourbon,Jim Beam,,Peg,450,,,TRUE
WHISKEY,Bourbon,Jim Beam,,Bottle (1000ml),8500,,,TRUE
WHISKEY,Bourbon,Jim Beam Black,,Peg,500,,,TRUE
WHISKEY,Bourbon,Jim Beam Black,,Bottle,10500,,,TRUE
WHISKEY,Domestic,Signature,,Peg,400,,,TRUE
WHISKEY,Domestic,Signature,,Bottle,4500,,,TRUE
WHISKEY,Domestic,Royal Challenge,,Peg,400,,,TRUE
WHISKEY,Domestic,Royal Challenge,,Bottle (1000ml),4500,,,TRUE
WHISKEY,Domestic,Antiquity Blue,,Peg,350,,,TRUE
WHISKEY,Domestic,Antiquity Blue,,Bottle,4500,,,TRUE
VODKA,,Grey Goose,,Peg,650,,,TRUE
VODKA,,Grey Goose,,Bottle,14500,,,TRUE
VODKA,,Absolut Blue,,Peg,400,,,TRUE
VODKA,,Absolut Blue,,Bottle,7000,,,TRUE
VODKA,,Ketel One,,Peg,400,,,TRUE
VODKA,,Ketel One,,Bottle,7000,,,TRUE
VODKA,,Smirnoff Red,,Peg,400,,,TRUE
VODKA,,Smirnoff Red,,Bottle,7000,,,TRUE
VODKA,,Juno,,Peg,300,,,TRUE
VODKA,,Juno,,Bottle,4000,,,TRUE
GIN,,Beefeater,,Peg,440,,,TRUE
GIN,,Beefeater,,Bottle,6500,,,TRUE
GIN,,Bombay Sapphire,,Peg,500,,,TRUE
GIN,,Bombay Sapphire,,Bottle,7500,,,TRUE
GIN,,Gordons,,Peg,440,,,TRUE
GIN,,Gordons,,Bottle,6500,,,TRUE
GIN,,Tanqueray,,Peg,500,,,TRUE
GIN,,Tanqueray,,Bottle,7500,,,TRUE
GIN,,Hendricks,,Peg,650,,,TRUE
GIN,,Hendricks,,Bottle,14500,,,TRUE
GIN,,Roku,,Peg,700,,,TRUE
GIN,,Roku,,Bottle,16000,,,TRUE
TEQUILA,,Casco Viejo,,Peg,550,,,TRUE
TEQUILA,,Casco Viejo,,Bottle,10500,,,TRUE
TEQUILA,,Castillo,,Peg,500,,,TRUE
TEQUILA,,Castillo,,Bottle,9500,,,TRUE
TEQUILA,,Don Angel,,Peg,500,,,TRUE
TEQUILA,,Don Angel,,Bottle,10500,,,TRUE
TEQUILA,,Camino Real Blanco,,Peg,550,,,TRUE
TEQUILA,,Camino Real Blanco,,Bottle,10500,,,TRUE
RUM,,Bacardi Reserva Ocho,,Peg,600,,,TRUE
RUM,,Bacardi Reserva Ocho,,Bottle,12000,,,TRUE
RUM,,Negrita Spiced Rum,,Peg,400,,,TRUE
RUM,,Negrita Spiced Rum,,Bottle,7000,,,TRUE
RUM,,Old Monk,,Peg,350,,,TRUE
RUM,,Old Monk,,Bottle,4000,,,TRUE
RUM,,Bacardi White,,Peg,350,,,TRUE
RUM,,Bacardi White,,Bottle,4000,,,TRUE
RUM,,Bacardi Black,,Peg,350,,,TRUE
RUM,,Bacardi Black,,Bottle,4000,,,TRUE
BRANDY,,Martel VS,,Peg,600,,,TRUE
BRANDY,,Martel VS,,Bottle,13000,,,TRUE
BRANDY,,Napoleon XO,,Peg,400,,,TRUE
BRANDY,,Napoleon XO,,Bottle,6000,,,TRUE
BRANDY,,Meukow VS Cognac,,Peg,500,,,TRUE
BRANDY,,Meukow VS Cognac,,Bottle,7000,,,TRUE
BRANDY,,Louis Baron VSOP,,Peg,600,,,TRUE
BRANDY,,Louis Baron VSOP,,Bottle,9500,,,TRUE
BRANDY,,VSOP Napoleon Gold,,Peg,400,,,TRUE
BRANDY,,VSOP Napoleon Gold,,Bottle,6000,,,TRUE
BRANDY,,VSOP Exshaw,,Peg,350,,,TRUE
BRANDY,,VSOP Exshaw,,Bottle,3500,,,TRUE
BRANDY,,Morpheus,,Peg,350,,,TRUE
BRANDY,,Morpheus,,Bottle,4000,,,TRUE
LIQUOR,,Kahlua,,Peg,500,,,TRUE
LIQUOR,,Kahlua,,Bottle,9200,,,TRUE
LIQUOR,,Baileys,,Peg,550,,,TRUE
LIQUOR,,Baileys,,Bottle,9800,,,TRUE
LIQUOR,,Jagermeister,,Peg,600,,,TRUE
LIQUOR,,Jagermeister,,Bottle,12500,,,TRUE
LIQUOR,,Jack Daniel Honey,,Peg,600,,,TRUE
LIQUOR,,Jack Daniel Honey,,Bottle,13700,,,TRUE
LIQUOR,,Cointreau,,Peg,550,,,TRUE
LIQUOR,,Cointreau,,Bottle,10800,,,TRUE
LIQUOR,,Zappa Sambuca,,Peg,450,,,TRUE
LIQUOR,,Zappa Sambuca,,Bottle,9700,,,TRUE
SHOOTERS,,Blue Kamikaze,"Vodka, blue curacao, lime",Domestic,400,,,TRUE
SHOOTERS,,Blue Kamikaze,"Vodka, blue curacao, lime",Imported,700,,,TRUE
