Category,SubCategory,Name,Description,Variant,Price,DietType,Tags,Available
MOMOS,,Edamame Momos,"Shitake mushrooms, cream cheese, spinach and edamame",,460,veg,new,TRUE
MOMOS,,Chicken Momos,"Minced chicken, cilantro and scallions",,500,non-veg,,TRUE
MOMOS,,Prawn Momos,"Minced prawns, cilantro, and scallions",,560,non-veg,new|seafood,TRUE
BURGERS,,Veg Burger,"Breaded vegetable patty layered with lettuce, tomatoes, and cheese",,480,veg,,TRUE
BURGERS,,Grilled Chicken Burger,"Grilled chicken patty, lettuce, and caramelized onions",,650,non-veg,new,TRUE
BURGERS,,Fried Chicken Burger,"Crispy fried chicken, coleslaw & hot sauce",,650,non-veg,,TRUE
BURGERS,,Korean Fried Chicken Burger,"Crispy fried chicken tossed in gochujang sauce, sesame seeds & coleslaw",,650,non-veg,,TRUE
BURGERS,,Smashed Beef Burger,"Smashed beef patty, lettuce, and caramelized onions",,700,non-veg,new,TRUE
BURGERS,,Double Cheese Burger,"Cheese loaded beef patty, american mustard, caramelized onions and sauteed mushrooms",,750,non-veg,new,TRUE
PASTA,,Pasta Arrabbiata,Pasta tossed with spicy homemade tomato sauce,,520,veg,,TRUE
PASTA,,Mac and Cheese,Macaroni tossed in cream sauce and four cheese mix,,560,veg,,TRUE
PASTA,,Pesto Al Basilico,Pasta tossed with basil pesto sauce and fresh cream,,580,veg,,TRUE
PASTA,,Pasta Aglio E Olio,"Pasta tossed with olive oil garlic, olives, and chilli flakes",,520,veg,,TRUE
PASTA,,Truffle & Mushroom,"Pasta tossed with button mushroom, cream sauce and truffle oil",,600,veg,new,TRUE
PASTA,,Verdure Alla Panna,Pasta tossed with vegetable cream sauce,,560,veg,,TRUE
PASTA,,Spinach and Corn Pesto,"Cream cheese, corn puree and blanched spinach in pesto sauce",,520,veg,,TRUE
PASTA,,Pollo Alla Pana,Pasta tossed with cream sauce and grilled chicken,,650,non-veg,,TRUE
PASTA,,Gamberi Alla Salsa Rosa,"Pasta tossed with prawns, olives, and pink sauce",,680,non-veg,seafood,TRUE
PASTA,,Carbonara,"Pasta tossed with olive oil, egg yolk, bacon, cream, and parmesan",,700,non-veg,,TRUE
PASTA,,Lamb Bolognese,Pasta tossed with slow cooked minced lamb and tomato sauce,,700,non-veg,,TRUE
HAND MADE RAVIOLI,,Spinach and Corn Pesto Ravioli,"Cream cheese, corn puree and blanched spinach in pesto sauce",,520,veg,,TRUE
HAND MADE RAVIOLI,,Shitake and Goat Cheese Ravioli,"Shitake and button mushroom, goat cheese in mushroom sauce",,520,veg,,TRUE
HAND MADE RAVIOLI,,Shrimp and Mascarpone Ravioli,"Minced shrimp, shallots, garlic, chilli, cilantro and mascarpone in marie rose sauce",,650,non-veg,seafood,TRUE
HAND MADE RAVIOLI,,Minced Beef Bolognese Ravioli,"Beef mince, four cheese blend, demi glaze in brown ragout sauce",,660,non-veg,,TRUE
PIZZA,,Pizza Margherita,"Homemade tomato sauce, basil, and mozzarella",,620,veg,,TRUE
PIZZA,,Pizza Verdure,"Pizza topped with fresh vegetables, peppers, and olives in arrabiata sauce",,640,veg,,TRUE
PIZZA,,Pizza Truffle Fromaggi,"Button mushrooms, capers, olives and truffle oil in cream sauce",,700,veg,new,TRUE
PIZZA,,Pizza Quattro Formaggi,Pizza topped with cream sauce and four cheese mix,,700,veg,,TRUE
PIZZA,,Pizza Napolitana,"Pizza topped with homemade tomato sauce, jalapenos capers, fresh tomatoes, olives",,640,veg,,TRUE
PIZZA,,Pizza Alla Pollo,Pizza topped with homemade tomato and grilled chicken,,750,non-veg,,TRUE
PIZZA,,Pizza Pepperoni,Pizza topped with pepperoni and red paprika,,760,non-veg,,TRUE
PIZZA,,Pizza D'Aglio Gamberi,"Pizza topped with garlic prawns, chilli flakes, parsley in cream sauce",,780,non-veg,seafood,TRUE
PIZZA,,Pizza Hawaiian,"Bacon, pineapple, mozzarella",,780,non-veg,,TRUE
PIZZA ADD ONS,,Mushrooms / Vegetables,,,100,veg,,TRUE
PIZZA ADD ONS,,Olives / Jalapenos,,,80,veg,,TRUE
PIZZA ADD ONS,,Chicken / Cheese,,,150,,,TRUE
PIZZA ADD ONS,,Bacon / Prawn / Pepperoni,,,200,non-veg,,TRUE
MAINS,,Seasonal Veg Bake,"Mixed vegetables, corn, peas baked in a creamy cheese sauce served with garlic herb rice and garlic bread",,520,veg,,TRUE
MAINS,,Veg Lasagna,"Layered pasta with a mix of spinach, mushroom and cottage cheese baked with mozzarella and served with garlic bread",,560,veg,,TRUE
MAINS,,Grilled Cottage Cheese Steak,"Seasoned cottage cheese grilled, served with truffle garlic rice and creamy mushroom sauce",,600,veg,new,TRUE
MAINS,,Caprese Stuffed Chicken,"Grilled chicken breast stuffed with tomatoes, mozzarella served with balsamic reduction potato wedges and buttered vegetables",,680,non-veg,,TRUE
MAINS,,"Chicken, Corn and Broccoli","Chicken, corn and broccoli baked in a Creamy Sauce Gratinate served with garlic herb rice and garlic bread",,580,non-veg,,TRUE
MAINS,,Herb Grilled Chicken Steak,"Herb marinated grilled chicken breast served with black pepper sauce, mashed potatoes and buttered vegetables",,640,non-veg,,TRUE
MAINS,,Lemon Butter Fish,Lemon mustard marinated fish grilled and served with a creamy lemon butter sauce and herb rice,,680,non-veg,seafood,TRUE
MAINS,,Herb Crusted Salmon,Salmon fillet crusted with herbs and served with sambal sauce,,1600,non-veg,seafood,TRUE
MAINS,,Prawn Stroganoff,Prawns cooked with vegetables in pink sauce served with herb rice,,700,non-veg,new|seafood,TRUE
MAINS,,Lamb Lasagna,Layered pasta with lamb bolognese baked with mozzarella served with garlic bread,,780,non-veg,,TRUE
MAINS,,Roasted Beef Steak,"Grilled beef tenderloin served with mushroom sauce, potatoes, and buttered vegetables",,895,non-veg,,TRUE
MAINS,,Pork Ribs,Slow cooked pork ribs tossed in bbq sauce served with fries,,800,non-veg,,TRUE
MAINS,,Prawn and Squid in Caper Sauce,Seafood cooked with capers and sundried tomatoes in olive oil,,700,non-veg,new|seafood,TRUE
PAN ASIAN,Rice,Cantonese Fried Rice,Cantonese style fried rice tossed with assorted vegetables,Veg,380,veg,,TRUE
PAN ASIAN,Rice,Cantonese Fried Rice,Cantonese style fried rice tossed with assorted vegetables,Chicken,420,non-veg,,TRUE
PAN ASIAN,Rice,Cantonese Fried Rice,Cantonese style fried rice tossed with assorted vegetables,Prawns,440,non-veg,seafood,TRUE
PAN ASIAN,Rice,Thai Fried Rice,Basmati rice cooked with bird's eye chilli and basil,Veg,440,veg,,TRUE
PAN ASIAN,Rice,Thai Fried Rice,Basmati rice cooked with bird's eye chilli and basil,Chicken,480,non-veg,,TRUE
PAN ASIAN,Rice,Thai Fried Rice,Basmati rice cooked with bird's eye chilli and basil,Prawns,520,non-veg,seafood,TRUE
PAN ASIAN,Rice,Truffle Garlic Fried Rice,Sticky jasmine rice cooked in burnt garlic sauce and truffle oil,Veg,620,veg,,TRUE
PAN ASIAN,Rice,Truffle Garlic Fried Rice,Sticky jasmine rice cooked in burnt garlic sauce and truffle oil,Chicken,680,non-veg,,TRUE
PAN ASIAN,Rice,Truffle Garlic Fried Rice,Sticky jasmine rice cooked in burnt garlic sauce and truffle oil,Prawns,690,non-veg,seafood,TRUE
PAN ASIAN,Noodles,Pad Thai Noodles,"Rice stick noodles tossed with tamarind juice, palm sugar, peanut and chilli flakes",Veg,440,veg,,TRUE
PAN ASIAN,Noodles,Pad Thai Noodles,"Rice stick noodles tossed with tamarind juice, palm sugar, peanut and chilli flakes",Chicken,500,non-veg,,TRUE
PAN ASIAN,Noodles,Pad Thai Noodles,"Rice stick noodles tossed with tamarind juice, palm sugar, peanut and chilli flakes",Prawns,520,non-veg,seafood,TRUE
PAN ASIAN,Noodles,Char Kway Teow,"Wok tossed flat rice noodles with shitake mushroom, bok choy and kecap manis sauce",Veg,440,veg,,TRUE
PAN ASIAN,Noodles,Char Kway Teow,"Wok tossed flat rice noodles with shitake mushroom, bok choy and kecap manis sauce",Chicken,500,non-veg,,TRUE
PAN ASIAN,Noodles,Char Kway Teow,"Wok tossed flat rice noodles with shitake mushroom, bok choy and kecap manis sauce",Prawns,520,non-veg,seafood,TRUE
PAN ASIAN,Noodles,Hakka Noodles,Indo-chinese noodles made with vegetables (Plain / Schezwan),Veg,440,veg,,TRUE
PAN ASIAN,Noodles,Hakka Noodles,Indo-chinese noodles made with vegetables (Plain / Schezwan),Chicken,480,non-veg,,TRUE
PAN ASIAN,Noodles,Hakka Noodles,Indo-chinese noodles made with vegetables (Plain / Schezwan),Prawns,520,non-veg,seafood,TRUE
PAN ASIAN,Curries,Thai Green Curry,"Coconut based curry made with baby eggplant, shallots, sweet basil leaves, kaffir lime leaves served with jasmine rice",Veg,520,veg,,TRUE
PAN ASIAN,Curries,Thai Green Curry,"Coconut based curry made with baby eggplant, shallots, sweet basil leaves, kaffir lime leaves served with jasmine rice",Chicken,560,non-veg,,TRUE
PAN ASIAN,Curries,Thai Green Curry,"Coconut based curry made with baby eggplant, shallots, sweet basil leaves, kaffir lime leaves served with jasmine rice",Prawns,580,non-veg,seafood,TRUE
PAN ASIAN,Curries,Thai Red Curry,"Coconut milk based red curry made with baby eggplant, shallots, bamboo shoot, sweet basil leaves, kaffir lime leaves served with jasmine rice",Veg,520,veg,,TRUE
PAN ASIAN,Curries,Thai Red Curry,"Coconut milk based red curry made with baby eggplant, shallots, bamboo shoot, sweet basil leaves, kaffir lime leaves served with jasmine rice",Chicken,560,non-veg,,TRUE
PAN ASIAN,Curries,Thai Red Curry,"Coconut milk based red curry made with baby eggplant, shallots, bamboo shoot, sweet basil leaves, kaffir lime leaves served with jasmine rice",Prawns,580,non-veg,seafood,TRUE
PAN ASIAN,Curries,Pad Krapow,Minced chicken and birds eye chilli tossed with homemade holy basil sauce served with steamed basmati rice topped with fried egg,Chicken,620,non-veg,new,TRUE
PAN ASIAN,Curries,Pad Krapow,Minced chicken and birds eye chilli tossed with homemade holy basil sauce served with steamed basmati rice topped with fried egg,Pork,680,non-veg,new,TRUE
PAN ASIAN,Curries,Mongolian Beef and Bamboo Shoot,"Tender beef slices sauteed with bamboo shoot, scallions and peppers",,680,non-veg,new,TRUE
INDIAN,Vegetarian,Veg Kholapuri,"Potatoes, seasonal vegetables and peas cooked in a spiced tomato curry",,460,veg,,TRUE
INDIAN,Vegetarian,Malai Kofta,Mixed vegetables fried dumpling cooked in a cream and yoghurt curry,,500,veg,,TRUE
INDIAN,Vegetarian,Paneer Lababdhar,Chunks of cottage cheese in a rich tomato and onion curry,,540,veg,,TRUE
INDIAN,Vegetarian,Dal Makhani,Slow cooked lentil and red kidney beans curry,,520,veg,,TRUE
INDIAN,Vegetarian,Dal Tadka,Cooked lentils tempered with chillies and spices,,420,veg,,TRUE
INDIAN,Vegetarian,Kadai Mushroom / Paneer,Mushroom or paneer cooked in kadai masala and homemade spices,,540,veg,,TRUE
INDIAN,Non-Vegetarian,Murgh Tikka Masala,Tandoori chicken chunks cooked in a rich tomato curry,,600,non-veg,,TRUE
INDIAN,Non-Vegetarian,Murgh Jahangiri,Rich and creamy mughal chicken curry cooked in peanut and yoghurt base,,600,non-veg,new,TRUE
INDIAN,Non-Vegetarian,Nadan Fish Curry,Slices of fish cooked in a tomato curry with tamarind spices and coconut milk,,620,non-veg,new|seafood,TRUE
INDIAN,Non-Vegetarian,Kerala Prawn Stew,"Prawns cooked with coconut oil, onion, and coconut milk",,620,non-veg,new|seafood,TRUE
INDIAN,Non-Vegetarian,Mutton Rogan Josh,Slow cooked mutton curry marinated with spices and cooked to perfection,,750,non-veg,,TRUE
SIDES,,Tandoori Naan / Roti,,,90,veg,,TRUE
SIDES,,Butter Roti / Butter Naan,,,120,veg,,TRUE
SIDES,,Garlic Naan,,,140,veg,,TRUE
SIDES,,Chilli Cheese Naan,,,180,veg,,TRUE
SIDES,,Lachha Paratha,,,140,veg,,TRUE
SIDES,,Steamed Rice,,,220,veg,,TRUE
SIDES,,Veg Pulao,,,360,veg,,TRUE
SIDES,,Curd Rice,,,250,veg,,TRUE
DESSERTS,,Basque Cheesecake,Served with homemade berry compote,,280,veg,,TRUE
DESSERTS,,Biscoff Drip Cake,Layers of vanilla sponge sandwiched with biscoff spread and whipped vanilla cream,,280,veg,,TRUE
DESSERTS,,Belgian Chocolate Mousse Cake,"Chocolate sponge with layers of dark, milk, and white chocolate mousse",,280,veg,,TRUE
DESSERTS,,Tiramisu,"Espresso soaked ladyfinger biscuits, mascarpone cream topped with chocolate shavings and cocoa",,320,veg,,TRUE
DESSERTS,,Callebaut Brownie,Warm dark chocolate chip brownie topped with flaky sea salt (Add on: gelato scoop),,240,veg,,TRUE
DESSERTS,,Nutella Cookie,Thick nutella stuffed chocolate chip cookie (Add on: gelato scoop),,220,veg,,TRUE
DESSERTS,,Gelato / Sorbet Scoop,Flavours of the day (100g),Gelato,190,veg,,TRUE
DESSERTS,,Gelato / Sorbet Scoop,Flavours of the day (100g),Sorbet,220,veg,,TRUE
DESSERTS,,Takeaway Tubs,300g gelato / sorbet,Gelato 300g,480,veg,,TRUE
DESSERTS,,Takeaway Tubs,300g gelato / sorbet,Sorbet 300g,570,veg,,TRUE
